"","Referência","Quartos","Banheiros","Suítes","Vagas.de.Garagem","Bairro","Área.Total","Valor.Venda"
"1"," 132860-4",3,2,0,2," Uvaranas",164,430000
"4"," 146507-4",3,2,1,2," Uvaranas",80,169900
"6"," 120001-4",1,1,0,2," Boa Vista",360,150000
"10"," 147038-4",2,1,0,1," Uvaranas",40,130000
"12"," 126629-4",2,1,0,1," Contorno / Sta. Paula",45,126900
"16"," 126900-4",4,1,1,4," Estrela",249,650000
"18"," 134592-4",4,6,2,3," Estrela",990,1800000
"19"," 142989-4",6,4,1,4," Uvaranas",638,1250000
"20"," 102109-4",3,4,1,2," Orfãs",335,1100000
"21"," 134491-4",3,4,1,4," Uvaranas",194,7e+05
"23"," 148409-4",3,3,1,2," Jardim Carvalho",150,690000
"31"," 144332-4",3,2,1,2," Oficinas",152,680000
"33"," 128538-4",3,3,0,2," Estrela",250,680000
"35"," 120198-4",2,2,1,3," Jardim Carvalho",1683,680000
"39"," 125978-4",3,2,1,2," Neves",180,680000
"40"," 147195-4",3,3,2,2," Oficinas",149,680000
"41"," 126585-4",3,3,1,2," Uvaranas",180,680000
"43"," 154838-4",3,3,1,4," Orfãs",476,657200
"44"," 102701-4",3,3,1,4," Chapada",290,650000
"48"," 151118-4",3,4,2,2," Orfãs",265,650000
"51"," 95221-4",3,2,1,2," Estrela",170,650000
"54"," 79256-4",4,5,2,4," Uvaranas",230,650000
"55"," 154546-4",3,3,1,1," Oficinas",180,650000
"57"," 143442-4",3,2,2,2," Orfãs",445,650000
"59"," 148013-4",4,4,1,3," Uvaranas",896,650000
"60"," 23504-4",7,4,2,6," Jardim Carvalho",420,650000
"61"," 145684-4",3,3,1,1," Chapada",220,650000
"62"," 154409-4",3,3,1,4," Oficinas",280,650000
"63"," 151175-4",5,3,2,4," Oficinas",230,650000
"64"," 133639-4",4,2,1,1," Orfãs",512,650000
"65"," 128595-4",3,2,1,2," Jardim Carvalho",161,650000
"67"," 131516-4",3,4,1,2," Oficinas",490,650000
"70"," 42619-4",5,6,2,2," Oficinas",260,650000
"73"," 111304-4",4,4,1,1," Orfãs",230,650000
"74"," 126474-4",4,2,1,2," Estrela",222,650000
"75"," 130854-4",4,3,1,5," Uvaranas",260,650000
"78"," 154909-4",3,4,3,2," Uvaranas",182,650000
"84"," 144750-4",3,3,1,2," Estrela",247,650000
"85"," 146269-4",4,4,0,1," Neves",300,650000
"86"," 17685-4",3,3,1,2," Oficinas",165,650000
"88"," 144972-4",3,1,0,3," Orfãs",210,650000
